,Id,SalePrice
0,1461,110135.9211088724
1,1462,159059.96019541658
2,1463,169683.67729304195
3,1464,188059.73683512304
4,1465,219781.96751946863
5,1466,182152.00561816595
6,1467,175453.9421406046
7,1468,175115.15705027757
8,1469,210229.82950256066
9,1470,102017.78779349593
10,1471,210420.1445169556
11,1472,119310.28941645287
12,1473,107391.69501081714
13,1474,164580.87210858287
14,1475,146068.19689132227
15,1476,328672.5113616523
16,1477,268102.5301074148
17,1478,296230.7283163562
18,1479,286760.11114705703
19,1480,387050.16395864775
20,1481,302944.3490558311
21,1482,235072.56872851285
22,1483,190566.04670378938
23,1484,195564.85559511557
24,1485,184861.4897975393
25,1486,214427.8593373245
26,1487,313876.87390232715
27,1488,270342.04153274815
28,1489,207291.27720369492
29,1490,204319.28212046833
30,1491,210882.6805457177
31,1492,97661.07425942086
32,1493,190683.31348167872
33,1494,288175.7699637308
34,1495,286046.8321863513
35,1496,225033.50450051762
36,1497,213655.28761436115
37,1498,179282.1222420698
38,1499,179578.60340310098
39,1500,162088.9505775997
40,1501,178168.6076920766
41,1502,170418.18834996992
42,1503,268586.82886333717
43,1504,244406.35882031056
44,1505,225294.20141575625
45,1506,213836.97285552393
46,1507,245897.8483913797
47,1508,198842.30582072935
48,1509,177137.98025033623
49,1510,148774.11992671783
50,1511,147020.65848817327
51,1512,166674.94850826496
52,1513,172912.21270038327
53,1514,165586.08562241844
54,1515,218684.6897218218
55,1516,156647.0628720487
56,1517,157935.63022983377
57,1518,170562.14584779576
58,1519,227005.62469838466
59,1520,124087.8150082787
60,1521,129523.77014383324
61,1522,186700.51808806416
62,1523,101448.8788327775
63,1524,109503.4670457081
64,1525,107158.53199719195
65,1526,109605.22397144302
66,1527,98643.15541197406
67,1528,146656.14085689117
68,1529,140431.95423245733
69,1530,186106.13713032426
70,1531,113793.75953441602
71,1532,78238.70848787855
72,1533,154417.05717944982
73,1534,143982.462249503
74,1535,156164.98098974628
75,1536,115994.60124694253
76,1537,46719.99822882353
77,1538,187512.24571034592
78,1539,220809.55498601287
79,1540,137523.66867173975
80,1541,164116.6759196699
81,1542,153172.77794053662
82,1543,214176.5736804118
83,1544,58757.176988831954
84,1545,115834.67802678794
85,1546,137545.86451584287
86,1547,122995.05905829859
87,1548,139781.23287278344
88,1549,113318.58788605616
89,1550,132713.0322703973
90,1551,125747.60226573981
91,1552,137808.10536767542
92,1553,139955.31455369364
93,1554,134310.19128335104
94,1555,158588.01970928302
