,Id,SalePrice
0,1461,124935.0
1,1462,154786.5
2,1463,179709.8
3,1464,178494.62
4,1465,201313.76
5,1466,181985.64
6,1467,168060.92
7,1468,174936.45
8,1469,182196.34
9,1470,118674.1
10,1471,195160.86
11,1472,90589.0
12,1473,97464.5
13,1474,154094.52
14,1475,134407.82
15,1476,398231.09
16,1477,263364.01
17,1478,303681.63
18,1479,224593.19
19,1480,446279.05
20,1481,311522.04
21,1482,210601.49
22,1483,173827.69
23,1484,171969.32
24,1485,173170.22
25,1486,197452.1
26,1487,340086.88
27,1488,254819.53
28,1489,215319.95
29,1490,197219.72
30,1491,188493.85
31,1492,100819.47
32,1493,173305.0
33,1494,299373.46
34,1495,310164.15
35,1496,227530.37
36,1497,182193.16
37,1498,150202.69
38,1499,151308.16
39,1500,153024.18
40,1501,172439.0
41,1502,152168.42
42,1503,305504.73
43,1504,237052.81
44,1505,218481.18
45,1506,184046.5
46,1507,216190.71
47,1508,201137.88
48,1509,161399.2
49,1510,150329.0
50,1511,144025.24
51,1512,166354.5
52,1513,150033.2
53,1514,165358.55
54,1515,185431.44
55,1516,168706.34
56,1517,143272.9
57,1518,128736.8
58,1519,226713.28
59,1520,132318.75
60,1521,143346.25
61,1522,166244.9
62,1523,113916.6
63,1524,127868.76
64,1525,125318.73
65,1526,127596.5
66,1527,97526.56
67,1528,131687.51
68,1529,139415.87
69,1530,169281.5
70,1531,126367.49
71,1532,107724.83
72,1533,142344.25
73,1534,119523.38
74,1535,160652.84
75,1536,115236.28
76,1537,76517.62
77,1538,192247.62
78,1539,234906.52
79,1540,110070.23
80,1541,161603.33
81,1542,146648.44
82,1543,222907.24
83,1544,86366.23
84,1545,100966.0
85,1546,121392.64
86,1547,143026.72
87,1548,140374.81
88,1549,110739.8
89,1550,147173.74
90,1551,116335.85
91,1552,151225.37
92,1553,143314.38
93,1554,108290.36
94,1555,171667.84
95,1556,97210.87
96,1557,124955.86
97,1558,92781.86
98,1559,109809.81
99,1560,149218.58
100,1561,150957.05
101,1562,124531.42
102,1563,121333.83
103,1564,160428.07
104,1565,159334.18
105,1566,216389.56
106,1567,76852.12
107,1568,220188.2
108,1569,142382.1
109,1570,124777.39
110,1571,135803.41
111,1572,141527.62
112,1573,240758.06
113,1574,116716.45
114,1575,212950.06
115,1576,211467.98
116,1577,212358.45
117,1578,156949.37
118,1579,142700.8
119,1580,190987.5
120,1581,137636.25
121,1582,128888.0
122,1583,343429.6
123,1584,239246.4
124,1585,141224.0
125,1586,76985.76
126,1587,99088.73
127,1588,146917.58
128,1589,106020.12
129,1590,130538.0
130,1591,107490.59
131,1592,125175.21
132,1593,113862.19
133,1594,131822.7
134,1595,117320.7
135,1596,232426.75
136,1597,163913.74
137,1598,189086.61
138,1599,215825.08
139,1600,198659.42
140,1601,70959.15
141,1602,106353.51
142,1603,93545.2
143,1604,276384.01
144,1605,263455.2
145,1606,167342.77
146,1607,165165.02
147,1608,217746.44
148,1609,209935.33
149,1610,153797.59
150,1611,151734.25
151,1612,157304.89
152,1613,168171.08
153,1614,122614.83
154,1615,84747.25
155,1616,75317.93
156,1617,91844.0
157,1618,129780.0
158,1619,133396.5
159,1620,148696.09
160,1621,144204.23
161,1622,147253.85
162,1623,304568.95
163,1624,208720.14
164,1625,126864.91
165,1626,179643.0
166,1627,186067.3
167,1628,287651.88
168,1629,175018.13
169,1630,351314.41
170,1631,228425.8
171,1632,252552.17
172,1633,166217.29
173,1634,180977.3
174,1635,178154.27
175,1636,160648.76
176,1637,179817.36
177,1638,209438.8
178,1639,180768.0
179,1640,257272.57
