id,target
0,1
2,0
3,1
9,0
11,0
12,0
21,0
22,1
27,0
29,0
30,1
35,0
42,1
43,1
45,1
46,0
47,0
51,0
58,1
60,0
69,0
70,0
72,1
75,1
84,1
87,0
88,0
90,0
94,1
99,0
101,1
103,0
106,0
108,1
111,0
115,0
116,0
122,0
123,0
124,0
125,1
127,0
140,1
142,1
147,0
148,1
150,0
152,1
154,1
155,0
166,0
167,0
169,0
177,0
179,0
181,0
186,0
188,1
189,1
192,0
200,0
202,0
206,0
207,0
214,0
217,0
223,0
224,1
227,0
228,0
230,0
233,0
234,1
236,1
239,0
250,0
255,0
257,0
259,1
275,0
278,1
282,0
284,1
286,0
288,0
292,0
295,0
300,1
304,0
305,0
306,0
308,0
311,1
317,0
319,0
323,0
324,0
325,0
326,0
333,0
339,0
342,1
343,1
350,0
351,0
357,1
359,0
362,1
366,0
367,0
369,0
373,1
374,0
376,0
377,0
378,1
379,1
382,0
385,0
387,0
388,1
391,0
392,0
395,0
399,0
400,1
403,1
405,1
408,0
411,1
414,1
416,1
417,0
422,0
425,1
428,0
430,0
431,0
433,1
434,0
439,1
441,1
449,1
458,1
460,1
464,0
473,0
488,0
491,1
494,1
497,1
500,0
505,0
507,1
508,0
510,0
511,1
515,0
525,0
529,0
532,0
534,0
537,1
539,1
541,0
545,0
547,0
548,0
549,0
553,1
554,0
555,0
557,0
562,0
566,0
572,1
573,1
582,0
586,1
587,0
590,1
591,0
593,0
595,0
596,1
597,1
601,0
602,1
605,0
610,0
616,1
618,0
620,0
626,0
627,1
629,1
632,0
634,0
639,1
645,1
647,0
648,1
650,0
663,1
666,1
668,0
670,1
673,1
676,0
678,1
692,0
693,0
694,0
695,1
696,0
698,1
701,0
703,0
707,0
708,0
711,0
715,0
718,1
722,0
723,0
733,1
741,0
742,0
743,1
747,1
749,1
750,1
756,0
757,1
760,0
764,0
765,0
766,0
768,0
769,0
771,1
772,1
776,1
778,0
780,0
785,1
789,0
792,0
793,0
811,1
813,0
816,1
821,0
824,1
825,0
827,1
830,0
831,0
839,0
844,0
847,0
850,0
854,0
855,1
858,0
861,0
862,0
865,1
869,1
879,0
880,0
887,0
889,0
897,1
900,0
901,0
904,0
908,1
909,0
910,0
913,0
914,1
917,0
918,1
920,0
922,0
924,0
925,0
927,0
933,0
937,0
943,1
949,1
950,1
954,0
966,1
967,0
969,1
970,0
973,1
975,0
980,0
988,0
989,1
995,0
1000,0
1003,0
1007,1
1011,0
1012,0
1013,0
1014,0
1016,1
1019,0
1025,0
1027,1
1028,0
1030,0
1033,1
1034,0
1039,0
1046,1
1047,1
1053,0
1055,0
1056,0
1059,0
1060,0
1063,1
1064,0
1068,1
1076,0
1086,0
1087,1
1089,0
1092,0
1095,0
1096,0
1097,0
1100,1
1101,1
1107,0
1108,0
1111,0
1115,0
1116,0
1121,0
1125,1
1127,0
1131,0
1133,1
1135,0
1137,0
1140,1
1144,0
1147,1
1148,0
1150,0
1158,1
1159,0
1161,0
1163,0
1165,1
1169,0
1171,0
1172,0
1176,0
1180,1
1184,0
1186,0
1187,1
1192,1
1193,0
1194,0
1197,1
1200,0
1205,1
1210,0
1216,0
1220,0
1231,1
1233,0
1246,0
1247,1
1248,0
1255,0
1256,1
1257,0
1258,0
1260,1
1261,0
1265,0
1266,0
1268,0
1274,0
1281,1
1285,0
1286,0
1291,0
1292,1
1295,0
1299,0
1306,0
1310,0
1311,0
1313,1
1314,0
1322,0
1323,1
1325,0
1329,0
1330,0
1333,1
1336,0
1339,0
1342,0
1344,0
1355,0
1357,0
1358,0
1359,0
1364,0
1366,0
1367,0
1370,0
1373,1
1377,1
1386,0
1387,0
1392,0
1397,0
1398,0
1400,0
1403,0
1404,0
1410,0
1413,1
1416,0
1417,0
1423,1
1424,0
1426,1
1427,1
1428,0
1430,0
1434,0
1435,0
1437,1
1438,1
1442,0
1446,0
1451,0
1457,0
1461,1
1462,0
1465,1
1468,1
1469,0
1471,0
1476,0
1478,1
1481,0
1489,0
1490,0
1492,1
1496,0
1512,0
1516,1
1517,0
1528,0
1529,0
1536,0
1539,0
1541,1
1542,0
1548,0
1550,1
1551,0
1552,0
1557,0
1563,1
1564,0
1565,0
1566,1
1571,0
1578,1
1581,0
1583,0
1584,1
1586,1
1589,1
1592,0
1598,0
1606,0
1612,1
1616,0
1620,0
1624,0
1629,0
1630,0
1635,1
1640,0
1641,1
1642,0
1651,0
1655,0
1656,0
1659,1
1664,0
1667,1
1668,1
1674,0
1678,1
1680,0
1681,0
1682,0
1685,1
1695,0
1696,1
1697,0
1704,1
1708,0
1711,0
1713,0
1714,0
1717,1
1729,1
1730,1
1732,1
1734,1
1736,1
1738,0
1742,0
1743,0
1746,0
1748,1
1749,1
1751,1
1758,0
1764,0
1765,0
1777,0
1778,0
1781,1
1782,0
1783,1
1785,0
1788,0
1793,0
1794,0
1795,0
1797,0
1800,0
1801,0
1805,1
1806,0
1819,0
1820,0
1825,0
1828,0
1829,0
1830,0
1839,0
1843,0
1844,0
1846,0
1849,1
1850,1
1854,1
1855,0
1858,1
1859,0
1862,1
1867,0
1868,1
1871,0
1872,1
1874,0
1876,0
1879,1
1884,0
1891,0
1894,1
1896,1
1902,1
1903,1
1904,0
1906,0
1907,0
1912,1
1913,0
1923,0
1926,1
1928,0
1930,0
1931,0
1934,1
1936,1
1944,0
1946,0
1947,0
1958,0
1964,0
1970,0
1974,1
1977,0
1978,0
1982,0
1984,0
1988,0
1993,1
1997,0
1998,1
2002,0
2004,0
2005,0
2008,0
2011,1
2013,1
2018,0
2021,0
2025,0
2029,0
2030,0
2032,1
2037,1
2041,0
2044,1
2048,1
2052,0
2053,0
2054,0
2062,0
2065,1
2066,0
2072,0
2079,0
2080,0
2085,1
2088,0
2090,1
2092,1
2093,0
2101,0
2104,0
2105,1
2106,1
2107,0
2120,1
2124,1
2127,0
2130,0
2132,1
2135,0
2137,0
2140,1
2143,1
2147,0
2151,1
2152,0
2155,0
2156,1
2162,1
2165,0
2166,1
2167,1
2168,0
2170,0
2178,0
2180,1
2182,1
2184,1
2185,0
2187,0
2196,1
2197,0
2199,0
2200,1
2201,0
2202,1
2206,1
2208,1
2218,1
2223,0
2224,0
2226,0
2228,0
2232,1
2234,0
2243,1
2247,1
2249,0
2252,0
2253,0
2259,0
2261,1
2264,0
2268,0
2269,1
2270,0
2276,1
2283,0
2287,0
2290,0
2291,0
