id,price
22730,5074680.496044109
22731,5241490.267384121
22732,6468297.5511911055
22733,4016860.8645042107
22734,5289233.61386721
22735,3240629.5862826016
22736,6256683.511559514
22737,4687537.399179406
22738,4754991.4571612375
22739,5948258.941882785
22740,5563857.36476223
22741,5048522.1205089
22742,4527398.523925262
22743,3432904.4961563917
22744,4666237.226854974
22745,3853147.3618304785
22746,5082340.238435436
22747,4177764.8952843696
22748,4152904.4033114966
22749,5965391.165438341
22750,5806559.243982149
22751,5265074.691314761
22752,5791310.91927712
22753,3592480.6173184095
22754,6048652.553694376
22755,3317357.427072597
22756,4657406.326699736
22757,4684386.482280489
22758,6122424.692433987
22759,4257041.74757266
22760,3442207.581278112
22761,5553279.678821743
22762,3530548.5600708853
22763,3991947.393859449
22764,3942411.3426648923
22765,4675725.078335296
22766,4211418.436835588
22767,5628167.959740351
22768,2853710.7658287464
22769,4432917.860713081
22770,3503289.8664812464
22771,3923408.2926013195
22772,5647668.59679586
22773,3163779.536600478
22774,6387901.068909609
22775,5501366.634259146
22776,3053547.900406365
22777,5305143.908347076
22778,4874352.707085007
22779,2952568.9719252028
22780,6787018.2408094555
22781,6249510.327882402
22782,3680515.37584775
22783,5472259.351585764
22784,4138767.7417711243
22785,5852845.997307906
22786,3031946.958132243
22787,3777813.880076502
22788,5700686.947542096
22789,5345708.401207425
22790,4089311.497116935
22791,4729228.051914129
22792,6193115.493680527
22793,6057208.481675268
22794,6002710.048108961
22795,5115452.072525293
22796,4890880.453332221
22797,5888619.515178047
22798,3554427.1209934815
22799,6871967.6918429155
22800,2598741.9035711405
22801,5242408.648121992
22802,4364798.424837228
22803,3052233.542216492
22804,5454772.034476772
22805,6096295.733658754
22806,2964570.9534627064
22807,3918840.8159062723
22808,4907486.414577856
22809,3413971.7360801063
22810,4912372.884646203
22811,4174699.6649197685
22812,3006664.8923300253
22813,2490116.520950028
22814,6039426.184547827
22815,4703372.259866452
22816,4357315.349191557
22817,3682195.573180306
22818,4065759.996005615
22819,5546244.507997517
22820,6112662.015648918
22821,3778083.8838300477
22822,6050391.4222671185
22823,2917648.5494934805
22824,4571370.244391286
22825,4888561.812989561
22826,5215064.807621489
22827,5209979.04073016
22828,3393500.1913109184
22829,5729402.170309473
22830,4629158.547239419
22831,3114254.102406439
22832,3433632.1096765148
22833,5602165.251554444
22834,4486589.19818647
22835,2843785.1618405
22836,6097485.320658277
22837,5768053.864020519
22838,3768833.945749568
22839,3756950.787429756
22840,3142027.03523079
22841,4323275.584584158
22842,5355452.423608681
22843,5901043.692119693
22844,3695009.1213389523
22845,5994041.080228586
22846,3595796.250605881
22847,4123174.3618700407
22848,5939812.279289769
22849,6102678.774369193
22850,5630142.506506847
22851,5649073.410967525
22852,5752247.84637868
22853,4258399.425402658
22854,3233307.230544311
22855,2428802.044922908
22856,5919313.381325398
22857,5360313.879912961
22858,3890039.209912365
22859,3800347.4789465354
22860,3287217.844966067
22861,3106152.3338984046
22862,6351467.679211691
22863,5517067.361779331
22864,6253121.079363937
22865,6728228.614426272
22866,6203789.508386567
22867,3124643.0188625203
22868,2680720.1394669954
22869,3606987.5419859546
22870,5189665.180421816
22871,4981059.729747957
22872,3255314.238134326
22873,3033012.245501334
22874,2475840.7282621427
22875,5435262.800910385
22876,3059611.623468281
22877,3737645.0240041986
22878,3175128.2228669017
22879,3433595.72546441
22880,3215085.9061146555
22881,3515817.031951303
22882,4328897.728678333
22883,3335717.0437955055
22884,3756836.527392513
22885,6339412.77854657
22886,4922677.095643638
22887,4855380.815670291
22888,6299401.929235558
22889,6498234.059893897
22890,5676025.443479851
22891,3719286.8533292846
22892,3942960.0079385517
22893,3080016.2279379014
22894,5027102.14104896
22895,2867335.9387549395
22896,4178772.24423547
22897,3878160.2604796523
22898,4313917.97698422
22899,5415230.505865505
22900,4952588.006628487
22901,3206146.420383908
22902,3102348.139507324
22903,4993155.817202316
22904,3900837.4653986017
22905,3753912.4258276513
22906,5363028.766531374
22907,6246533.034242535
22908,2791539.1184633905
22909,4278117.5355821615
22910,5873939.839839499
22911,3599109.9515160224
22912,4075563.0713998824
22913,5504487.395420764
22914,4947248.563783013
22915,3062887.282658009
22916,3908039.8686335543
22917,3019326.172412771
22918,3351728.0822158437
22919,3534804.135815899
22920,6058426.316675266
22921,2519388.5117874895
22922,5661263.6100128945
22923,4490671.977320689
22924,4464829.910379132
22925,4727397.497314146
22926,2865212.0061317063
22927,4805381.726386428
22928,4911310.883385332
22929,3919762.6371100717
22930,5997400.361921719
22931,4736968.7999122925
22932,5221988.557990432
22933,6569332.2630040655
22934,2456255.1633367706
22935,5057979.94509358
22936,3925121.7702359296
