Id,SalePrice
1461,124935.0
1462,154786.5
1463,179709.8
1464,178494.62
1465,201313.76
1466,181985.64
1467,168060.92
1468,174936.45
1469,182196.34
1470,118674.1
1471,195160.86
1472,90589.0
1473,97464.5
1474,154094.52
1475,134407.82
1476,398231.09
1477,263364.01
1478,303681.63
1479,224593.19
1480,446279.05
1481,311522.04
1482,210601.49
1483,173827.69
1484,171969.32
1485,173170.22
1486,197452.1
1487,340086.88
1488,254819.53
1489,215319.95
1490,197219.72
1491,188493.85
1492,100819.47
1493,173305.0
1494,299373.46
1495,310164.15
1496,227530.37
1497,182193.16
1498,150202.69
1499,151308.16
1500,153024.18
1501,172439.0
1502,152168.42
1503,305504.73
1504,237052.81
1505,218481.18
1506,184046.5
1507,216190.71
1508,201137.88
1509,161399.2
1510,150329.0
1511,144025.24
1512,166354.5
1513,150033.2
1514,165358.55
1515,185431.44
1516,168706.34
1517,143272.9
1518,128736.8
1519,226713.28
1520,132318.75
1521,143346.25
1522,166244.9
1523,113916.6
1524,127868.76
1525,125318.73
1526,127596.5
1527,97526.56
1528,131687.51
1529,139415.87
1530,169281.5
1531,126367.49
1532,107724.83
1533,142344.25
1534,119523.38
1535,160652.84
1536,115236.28
1537,76517.62
1538,192247.62
1539,234906.52
1540,110070.23
1541,161603.33
1542,146648.44
1543,222907.24
1544,86366.23
1545,100966.0
1546,121392.64
1547,143026.72
1548,140374.81
1549,110739.8
1550,147173.74
1551,116335.85
1552,151225.37
1553,143314.38
1554,108290.36
1555,171667.84
1556,97210.87
1557,124955.86
1558,92781.86
1559,109809.81
1560,149218.58
1561,150957.05
1562,124531.42
1563,121333.83
1564,160428.07
1565,159334.18
1566,216389.56
1567,76852.12
1568,220188.2
1569,142382.1
1570,124777.39
1571,135803.41
1572,141527.62
1573,240758.06
1574,116716.45
1575,212950.06
1576,211467.98
1577,212358.45
1578,156949.37
1579,142700.8
1580,190987.5
1581,137636.25
1582,128888.0
1583,343429.6
1584,239246.4
1585,141224.0
1586,76985.76
1587,99088.73
1588,146917.58
1589,106020.12
1590,130538.0
1591,107490.59
1592,125175.21
1593,113862.19
1594,131822.7
1595,117320.7
1596,232426.75
1597,163913.74
1598,189086.61
1599,215825.08
1600,198659.42
1601,70959.15
1602,106353.51
1603,93545.2
1604,276384.01
1605,263455.2
1606,167342.77
1607,165165.02
1608,217746.44
1609,209935.33
1610,153797.59
1611,151734.25
1612,157304.89
1613,168171.08
1614,122614.83
1615,84747.25
1616,75317.93
1617,91844.0
1618,129780.0
1619,133396.5
1620,148696.09
1621,144204.23
1622,147253.85
1623,304568.95
1624,208720.14
1625,126864.91
1626,179643.0
1627,186067.3
1628,287651.88
1629,175018.13
1630,351314.41
1631,228425.8
1632,252552.17
1633,166217.29
1634,180977.3
1635,178154.27
1636,160648.76
1637,179817.36
1638,209438.8
1639,180768.0
1640,257272.57
1641,186847.0
1642,217723.65
1643,232116.66
1644,226987.4
1645,176787.5
1646,150241.5
1647,159281.25
1648,138653.37
1649,137749.5
1650,124531.68
1651,124508.58
1652,91554.0
1653,97295.0
1654,158535.7
1655,154039.82
1656,153558.62
1657,158633.7
1658,151604.72
1659,137399.5
